开始城市,结束城市,实际迁徙指数
哈密,和田,0.23583333333333334
哈密,喀什,2.592222222222222
哈密,巴音郭楞蒙古,5.056944444444446
哈密,昌吉回族,9.082500000000003
哈密,石河子,0.03222222222222222
哈密,阿克苏,3.3747222222222217
哈尔滨,七台河,11.135000000000005
哈尔滨,伊春,9.011944444444445
哈尔滨,佳木斯,26.725
哈尔滨,双鸭山,8.491666666666665
哈尔滨,大兴安岭,0.7250000000000001
哈尔滨,大庆,33.672777777777775
哈尔滨,牡丹江,15.518888888888888
哈尔滨,绥化,120.14361111111117
哈尔滨,鸡西,8.74111111111111
哈尔滨,鹤岗,4.795277777777778
哈尔滨,黑河,7.984444444444446
哈尔滨,齐齐哈尔,17.32500000000001
唐山,保定,54.234999999999985
唐山,北京,52.86916666666668
唐山,天津,412.44027777777774
唐山,廊坊,109.62500000000001
唐山,张家口,5.663055555555555
唐山,承德,96.61833333333334
唐山,沧州,116.50611111111114
唐山,石家庄,23.579722222222223
唐山,秦皇岛,255.3755555555556
唐山,衡水,9.775555555555552
唐山,邢台,4.238888888888889
唐山,邯郸,11.410833333333334
商丘,周口,104.36972222222218
商丘,开封,79.18472222222225
商丘,新乡,2.1044444444444443
商丘,洛阳,2.086111111111111
商丘,郑州,123.50750000000004
商洛,咸阳,20.188888888888894
商洛,安康,14.510277777777778
商洛,宝鸡,3.8433333333333346
商洛,延安,1.9361111111111107
商洛,榆林,1.451388888888889
商洛,汉中,1.171388888888889
商洛,渭南,11.445555555555554
商洛,西安,120.00611111111112
商洛,铜川,1.2224999999999995
喀什,乌鲁木齐,1.2155555555555555
喀什,克孜勒苏柯尔克孜,9.384722222222223
喀什,吐鲁番,0.0022222222222222227
喀什,和田,4.952499999999999
喀什,图木舒克,6.0408333333333335
喀什,巴音郭楞蒙古,1.8219444444444446
喀什,昌吉回族,0.0027777777777777783
喀什,阿克苏,7.688055555555555
嘉兴,上海,797.7302777777771
嘉兴,丽水,5.596666666666667
嘉兴,台州,32.260833333333345
嘉兴,宁波,247.97027777777782
嘉兴,杭州,2134.9627777777787
嘉兴,温州,22.66361111111111
嘉兴,湖州,344.5816666666669
嘉兴,绍兴,209.15249999999997
嘉兴,舟山,13.014444444444445
嘉兴,苏州,477.51611111111106
嘉兴,衢州,10.83361111111111
嘉兴,金华,48.27361111111111
嘉峪关,兰州,0.8102777777777778
嘉峪关,张掖,4.684444444444444
嘉峪关,武威,0.3983333333333334
嘉峪关,酒泉,42.36972222222225
四平,吉林,6.056111111111112
四平,延边朝鲜族,0.8944444444444445
四平,松原,15.066388888888886
四平,白城,6.985833333333332
四平,白山,2.0313888888888885
四平,辽源,10.446666666666662
四平,通化,4.596111111111111
四平,长春,81.50527777777778
固原,中卫,19.128611111111116
固原,吴忠,10.720277777777776
固原,石嘴山,1.4452777777777779
固原,银川,15.711388888888887
图木舒克,喀什,3.1022222222222227
塔城,乌鲁木齐,13.653055555555559
塔城,伊犁哈萨克,18.111388888888886
塔城,克拉玛依,10.566666666666666
塔城,博尔塔拉蒙古,4.0025
塔城,昌吉回族,8.685555555555556
塔城,石河子,20.884166666666665
塔城,阿勒泰,2.3783333333333343
大兴安岭,哈尔滨,0.4761111111111112
大兴安岭,绥化,0.007777777777777779
大兴安岭,黑河,0.6413888888888889
大兴安岭,齐齐哈尔,0.5047222222222223
大同,临汾,0.8647222222222223
大同,吕梁,1.7091666666666663
大同,太原,15.142777777777779
大同,忻州,17.655555555555555
大同,晋中,2.79888888888889
大同,晋城,0.044444444444444446
大同,朔州,92.32972222222224
大同,运城,0.6447222222222221
大同,长治,0.7752777777777778
大同,阳泉,0.455
大庆,七台河,0.0036111111111111114
大庆,伊春,0.43583333333333363
大庆,佳木斯,0.6177777777777779
大庆,双鸭山,0.034444444444444444
大庆,哈尔滨,27.320555555555554
大庆,大兴安岭,0.3886111111111112
大庆,牡丹江,0.5530555555555556
大庆,绥化,48.78194444444443
大庆,鸡西,0.22666666666666666
大庆,鹤岗,0.005555555555555557
大庆,黑河,1.657222222222222
大庆,齐齐哈尔,25.458611111111107
大理白族,临沧,14.85833333333334
大理白族,丽江,46.988611111111105
大理白族,保山,32.62555555555555
大理白族,德宏傣族景颇族,12.73027777777778
大理白族,怒江傈僳族,11.033611111111108
大理白族,昆明,61.24388888888889
大理白族,昭通,0.28305555555555556
大理白族,普洱,5.21111111111111
大理白族,曲靖,5.823888888888889
大理白族,楚雄彝族,22.206666666666674
大理白族,玉溪,2.2388888888888894
